,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
0,,4,No issues.,23-07-2014,138,0,0,0,0,0,0
1,0mie,5,"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",25-10-2013,409,0,0,0,0,0,0
2,1K3,4,it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,23-12-2012,715,0,0,0,0,0,0
3,1m2,5,"This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",21-11-2013,382,0,0,0,0,0,0
4,2&amp;1/2Men,5,"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",13-07-2013,513,0,0,0,0,0,0
5,2Cents!,5,It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,29-04-2013,588,0,0,0,0,0,0
6,2K1Toaster,5,I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,19-10-2013,415,0,0,0,0,0,0
7,"35-year Technology Consumer ""8-tracks to 802.11""",5,It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,07-10-2014,62,0,0,0,0,0,0
8,4evryoung,5,"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",24-03-2014,259,1,0,1,1,1,0.206549314
9,53rdcard,5,"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",10-11-2013,393,0,0,0,0,0,0
10,808TREX50,5,"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",05-11-2013,398,0,0,0,0,0,0
11,98020,3,"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",20-11-2013,383,0,0,0,0,0,0
12,9z4cda,5,THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!,07-04-2014,245,0,0,0,0,0,0
13,"A4Q96 ""Gadget Lover""",5,"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",21-11-2013,382,0,0,0,0,0,0
14,"Aaron ""Aaron""",5,"Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!",17-02-2014,294,0,0,0,0,0,0
15,"Aaron ""Aaron""",5,"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",01-04-2013,616,0,0,0,0,0,0
16,Aaron Alvarez,5,got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kids take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one was a carry over from an old phone.needless to say this was sweet. plenty of space. and i dont have to delete pictures anymore. well for now at least.my daughter loves selfies.,03-02-2014,308,0,0,0,0,0,0
